#,Seccion,Area,Nombre Area,Subarea,Nombre Subarea,Tipo,Pregunta,Opcion A,Opcion B,Opcion C,Respuesta correcta,Explicacion,Dificultad,Imagen URL,Tags,Piloto,Veces visto,Veces correcto,Stimulus ID,ID,Creada
18,disciplinar,1,Analisis de Sistemas de Software,1,Tipos de requerimientos,single,"En un sistema de cobro de peaje electronico en autopistas mexicanas, el cliente solicita: el lector RFID debera identificar al vehiculo en menos de 200 ms a velocidades de hasta 110 km/h, y mostrar tarifa al operador. Un analista propone documentar solo la parte de la tarifa porque considera la velocidad un detalle tecnico. ¿Cual es la critica conceptualmente correcta?","El tiempo de respuesta a velocidad especifica es un NFR de rendimiento con restriccion de contexto fisico, y debe documentarse explicitamente porque condiciona la arquitectura",La velocidad es solo un detalle de implementacion y puede omitirse del SRS,Toda la frase es un solo requerimiento funcional indivisible,A,El tiempo de respuesta condicionado por velocidad fisica es un NFR de rendimiento con restriccion de entorno; omitirlo permitiria pasar pruebas en laboratorio pero fallar en operacion real. La opcion b es la postura del junior y rompe verificabilidad. La opcion c mezcla NFR con FN y oculta el tradeoff arquitectonico.,hard,,,no,0,0,,78ad1097-8358-44f5-a5c3-b2b0b584f275,2026-05-29T10:42:52.206288+00:00
19,disciplinar,1,Analisis de Sistemas de Software,1,Tipos de requerimientos,single,"En el desarrollo del expediente clinico electronico de un hospital privado en Guadalajara, los medicos solicitan que el sistema permita registrar diagnosticos con CIE-10. El area juridica anade que la NOM-024-SSA3-2012 obliga a conservar el expediente durante minimo 5 anos y a permitir interoperabilidad HL7. El analista clasifica solo el primero como funcional y los demas como no funcionales. ¿Cual es el error mas significativo?","La obligacion de conservar 5 anos y la interoperabilidad HL7 son requerimientos de dominio derivados de la regulacion sanitaria mexicana, no NFR genericos",Los tres deben clasificarse como funcionales por describir caracteristicas del expediente,Solo HL7 es de dominio; la retencion de 5 anos es funcional porque define un comportamiento del sistema,A,"La NOM-024 y el estandar HL7 son restricciones que provienen del dominio de la aplicacion clinica regulada, no del usuario final. Sommerville los define como requerimientos de dominio. La opcion b confunde funcional con dominio. La opcion c divide arbitrariamente: ambos provienen del marco regulatorio sanitario y son de dominio.",hard,,,no,0,0,,bf207113-cbbb-41bd-9ed8-112d0e4b5d7d,2026-05-29T10:42:52.206288+00:00
20,disciplinar,1,Analisis de Sistemas de Software,1,Tipos de requerimientos,single,¿Qué técnica de elicitación usa un modelo visual del sistema para validar requerimientos con el usuario?,Cuestionario,Prototipado,Entrevista,B,El prototipado permite al usuario interactuar con un modelo visual del sistema y validar si los requerimientos son correctos.,medium,,,no,0,0,,aff2d98f-965d-451a-a919-c6e930b29206,2026-05-29T02:16:19.75535+00:00
21,disciplinar,1,Analisis de Sistemas de Software,1,Tipos de requerimientos,single,El cliente de un sistema de inventario solicita: 'Quiero poder generar reportes rápidos'. El analista de requerimientos detecta que esta declaración:,Es un requerimiento funcional bien formulado porque describe una capacidad del sistema,Es un requerimiento de usuario en lenguaje natural que no es verificable y debe transformarse para cumplir con la propiedad de medibilidad,Es una restricción de hardware que limita el desempeño,B,"'Rápidos' no es medible. Wiegers & Beatty (2013) y la IEEE 29148 exigen que los requerimientos sean verificables; esta declaración debe reescribirse como, por ejemplo: 'El sistema debe generar el reporte de inventario en menos de 5 segundos para hasta 10 000 artículos'.",easy,,"requerimientos,verificabilidad,calidad-req",no,0,0,,fe916e05-9c7a-5ef7-a2fb-89b17af08cf5,2026-05-30T17:06:13.431498
22,disciplinar,1,Analisis de Sistemas de Software,1,Tipos de requerimientos,single,"Una universidad publica licita un sistema de inscripciones. El pliego incluye: permitir reinscripcion en linea, soportar 30,000 alumnos concurrentes el primer dia, y respetar el reglamento general de estudios que prohibe inscribir si el alumno tiene adeudo de biblioteca. El equipo redacta los tres como funcionales para simplificar. ¿Que pierde el SRS con esta simplificacion?","No pierde nada, simplificar mejora la legibilidad del SRS",Pierde trazabilidad y verificabilidad: la concurrencia es NFR de escalabilidad medible y el reglamento es requerimiento de dominio que requiere ser rastreado al documento legal,Solo afecta a la estimacion pero no a la arquitectura,B,"Mezclar los tipos rompe la propiedad de rastreabilidad del IEEE 830: la concurrencia debe verificarse con pruebas de carga (NFR), la regla de adeudo debe referenciar el reglamento (dominio). La opcion b ignora las propiedades del SRS. La opcion c minimiza el impacto: la concurrencia define decisiones de arquitectura como sharding o cache.",hard,,,no,0,0,,aa7fd839-1dea-4ea9-a2a2-fc7166fe0bec,2026-05-29T10:42:52.206288+00:00
23,disciplinar,1,Analisis de Sistemas de Software,1,Tipos de requerimientos,single,"Una aseguradora pide: el sistema debe calcular primas usando las tablas actuariales aprobadas por CNSF, registrar cotizaciones, y mantener disponibilidad del 99.95 por ciento mensual. Durante revision, un stakeholder afirma que la disponibilidad de 99.95 por ciento es un requerimiento de dominio porque la CNSF lo exige. ¿Es correcta esta afirmacion?",Es correcta: cualquier cosa exigida por un regulador es requerimiento de dominio,Es incorrecta: 99.95 por ciento es NFR de disponibilidad medible aunque el origen sea regulatorio; el requerimiento de dominio seria el uso de las tablas actuariales CNSF,Es correcta solo si CNSF emite un decreto especifico sobre uptime,B,El origen regulatorio no transforma la naturaleza del requerimiento. 99.95 por ciento es atributo de calidad medible (NFR de disponibilidad). El verdadero requerimiento de dominio es la obligatoriedad de tablas actuariales especificas. La opcion b confunde origen con tipo. La opcion c introduce condicion irrelevante.,hard,,,no,0,0,,74699e02-ea46-4f4c-89e4-b2a4a476a6d0,2026-05-29T10:42:52.206288+00:00
24,disciplinar,1,Analisis de Sistemas de Software,1,Tipos de requerimientos,single,"Una notaria digital requiere: firmar documentos con e.firma del SAT, conservar archivos por 10 anos conforme al Codigo de Comercio, y permitir consulta historica con tiempo de respuesta menor a 2 s. Un analista marca todo como NFR. Bajo IEEE 830, ¿como deben clasificarse?",Firmar con e.firma es funcional con dominio regulatorio (SAT/Codigo de Comercio); conservar 10 anos es de dominio legal; consulta menor a 2 s es NFR de rendimiento,Los tres son NFR porque derivan de obligaciones legales,Los tres son funcionales por describir acciones,A,"Firmar es FN, e.firma del SAT impone dominio. Conservar 10 anos es de dominio (Codigo de Comercio). Consulta menor a 2 s es NFR de rendimiento. Mezclar todo como NFR es impreciso. La opcion b confunde origen legal con NFR. La opcion c ignora la calidad.",medium,,,no,0,0,,457a18a2-f385-446c-bff5-f1f2802c4a43,2026-05-29T10:42:52.206288+00:00
25,disciplinar,1,Analisis de Sistemas de Software,1,Tipos de requerimientos,single,"Para un sistema escolar SEP, se redacta: el sistema sera amigable, modular y rapido. El SRS contiene literalmente esa frase como tres NFR. Un revisor senior propone reescribirla. ¿Cual propuesta cumple con IEEE 830 sin perder la intencion original?",Convertirlos en funcionales con casos de uso,Eliminar los tres porque amigable y rapido no son verificables,"Reescribir como tres NFR verificables: SUS mayor o igual a 80 (usabilidad), cobertura de modulos independientes mayor al 70 por ciento con interfaces documentadas (mantenibilidad), tiempo de respuesta percentil 95 menor a 1.5 s (rendimiento)",C,"IEEE 830 exige verificabilidad. La reescritura con metricas SUS, cobertura modular y percentiles permite probar. La opcion b pierde intencion del cliente. La opcion c es categoricamente erronea: los NFR no se convierten en casos de uso.",medium,,,no,0,0,,e0addb57-63e6-4b6b-9d27-04cd3fc19a81,2026-05-29T10:42:52.206288+00:00
26,disciplinar,1,Analisis de Sistemas de Software,1,Tipos de requerimientos,single,El cliente de una app de delivery dice: queremos que la app sea intuitiva y rapida. El equipo redacta en el SRS exactamente esa frase como NFR de usabilidad y rendimiento. ¿Cual propiedad del SRS se viola y cual es la correccion?,Viola verificabilidad; corregir a metricas medibles como tiempo de primera interaccion menor a 1.5 s y tasa de exito mayor al 90 por ciento en tareas clave con SUS mayor o igual a 75,Viola completitud porque faltan mas requerimientos no funcionales,Viola consistencia porque intuitiva y rapida son sinonimos,A,"Intuitiva y rapida son terminos no verificables. IEEE 830 exige requerimientos verificables; deben transformarse en metricas (tiempo, SUS, tasa de exito). La opcion b confunde la propiedad: completitud no es el problema central. La opcion c es falsa: no son sinonimos.",medium,,,no,0,0,,8f37c8e9-8ef2-433c-871d-d0d86eafbc7d,2026-05-29T10:42:52.206288+00:00
27,disciplinar,1,Analisis de Sistemas de Software,1,Tipos de requerimientos,single,Una plataforma de e-learning sera usada por la SEP en escuelas con conectividad limitada. El cliente solicita: descarga de leccion para uso offline durante 7 dias y cifrado en reposo del contenido. El equipo etiqueta ambos como NFR de seguridad. ¿Cual es el problema con esta clasificacion?,La clasificacion es correcta porque cualquier proteccion de contenido es seguridad,Ambos son funcionales porque el sistema realiza acciones,La descarga offline por 7 dias es funcional con NFR asociado de disponibilidad/tolerancia a fallos; solo el cifrado en reposo es NFR de seguridad puro,C,Descargar es una funcion del sistema; los 7 dias offline es NFR de disponibilidad. Cifrado en reposo es NFR de seguridad. Mezclarlos pierde precision y trazabilidad. La opcion b ignora la dimension de calidad. La opcion c es simplista.,medium,,,no,0,0,,fd0ec270-7343-41a1-ba03-d16707a08206,2026-05-29T10:42:52.206288+00:00
28,disciplinar,1,Analisis de Sistemas de Software,1,Tipos de requerimientos,single,"Una plataforma de telemedicina debe atender consultas en zonas con conectividad intermitente. El producto manager redacta: el sistema debera permitir agendar consultas, funcionar offline durante hasta 30 minutos sincronizando al reconectar, y cumplir con la LFPDPPP en el manejo de datos personales. Un junior los etiqueta todos como funcionales. ¿Cual clasificacion correcta debe asignarse en el SRS?",Agendar es funcional; los otros dos son no funcionales de seguridad,Los tres son funcionales porque describen lo que el sistema hace,"Agendar consultas es funcional, funcionar offline 30 min es no funcional de disponibilidad/tolerancia a fallos, y cumplir LFPDPPP es de dominio",C,"Agendar describe una funcion del sistema. Operar offline 30 minutos es restriccion de calidad sobre tolerancia a fallos/disponibilidad, NFR. La LFPDPPP proviene del marco legal mexicano de proteccion de datos, requerimiento de dominio. La opcion b mete todo en funcional ignorando calidad y regulacion. La opcion c clasifica mal LFPDPPP como NFR cuando es dominio.",medium,,,no,0,0,,5fcf7b7c-5c5d-4ad1-9899-d1516e14c467,2026-05-29T10:42:52.206288+00:00
29,disciplinar,1,Analisis de Sistemas de Software,1,Tipos de requerimientos,single,¿Qué técnica de elicitación reúne stakeholders en sesiones grupales estructuradas?,Cuestionarios por correo,JAD (Joint Application Development),Observación etnográfica,B,"JAD reúne a usuarios, desarrolladores y facilitador en sesiones estructuradas para definir requerimientos colaborativamente.",medium,,,no,0,0,,623f75a5-b199-4c42-8355-b9fb840180f9,2026-05-29T02:16:19.75535+00:00
30,disciplinar,1,Analisis de Sistemas de Software,1,Tipos de requerimientos,single,Considere el siguiente caso: un cliente de un sistema de inventarios pide que el sistema sea capaz de exportar reportes a Excel y PDF y enviarlos por correo cada lunes a las 8 am. ¿Como clasifica el enunciado?,Funcional (exportar y enviar) con restriccion temporal de negocio,Solo no funcional,Solo funcional,A,"Exportar y enviar reportes son funciones del sistema, pero el cuando (lunes 8 am) es una regla de negocio del dominio. La combinacion describe un funcional con una restriccion temporal.",medium,,,no,0,0,,b51d62bf-7bfe-4b02-8ffe-169cca311e82,2026-05-29T05:21:04.055955+00:00
31,disciplinar,1,Analisis de Sistemas de Software,1,Tipos de requerimientos,single,"Considere el siguiente caso: para un sistema de votacion electoral, una regulacion obliga a que los votos esten cifrados con AES-256 y a que el conteo sea auditable por terceros. ¿Como clasifica los dos requerimientos?",Ambos son requerimientos de usabilidad,Cifrado: no funcional de seguridad; auditabilidad: de dominio regulatorio,Ambos son funcionales,B,"El cifrado es un atributo de calidad (seguridad) impuesto al sistema, y la auditabilidad de terceros nace de la regulacion electoral del dominio. Ninguno describe una funcion concreta ni mejora la facilidad de uso.",hard,,,no,0,0,,12bab052-d81c-49cb-aabf-449afe83ec03,2026-05-29T05:21:04.055955+00:00
32,disciplinar,1,Analisis de Sistemas de Software,1,Tipos de requerimientos,single,El estándar IEEE 830 define la estructura de:,Una especificación de requerimientos de software (SRS),Un plan de pruebas,Un diagrama UML,A,IEEE 830 es el estándar para la Especificación de Requerimientos de Software (SRS).,medium,,,no,0,0,,658f6f8a-8b99-4aa3-9352-9eaa85323b82,2026-05-29T02:16:19.75535+00:00
33,disciplinar,1,Analisis de Sistemas de Software,1,Tipos de requerimientos,single,Los requerimientos no funcionales de seguridad incluyen:,Que el sistema permita iniciar sesión,Que el sistema sea bonito visualmente,"Autenticación, cifrado, control de acceso y auditoría",C,"Seguridad incluye: autenticación (verificar identidad), autorización (permisos), cifrado (proteger datos), auditoría (registrar acciones).",medium,,,no,0,0,,80a52971-57f6-411c-8a4a-0e134966e247,2026-05-29T02:16:19.75535+00:00
34,disciplinar,1,Analisis de Sistemas de Software,1,Tipos de requerimientos,single,Considere el siguiente caso: el sistema de un banco debe usar protocolo TLS 1.3 para toda comunicacion con el cliente. ¿Como se clasifica?,Funcional de cifrado,De dominio financiero,No funcional de seguridad (restriccion tecnologica),C,"Es una restriccion de calidad (seguridad) que ademas impone una tecnologia. No describe una funcion para el usuario final ni nace de la regulacion bancaria, sino de las buenas practicas de seguridad.",medium,,,no,0,0,,06e62953-8b61-40ce-b0f7-e1963decf184,2026-05-29T05:21:04.055955+00:00
35,disciplinar,1,Analisis de Sistemas de Software,1,Tipos de requerimientos,single,Un requerimiento que especifica que el sistema debe responder en menos de 2 segundos es:,Funcional,Restriccion legal,No funcional (rendimiento),C,El tiempo de respuesta es un requerimiento no funcional (NFR) de rendimiento.,easy,,,no,0,0,,2d3b0b24-f34f-4df5-b2c6-fec539bc6f55,2026-05-26T05:25:12.035914+00:00
36,disciplinar,1,Analisis de Sistemas de Software,1,Tipos de requerimientos,single,La trazabilidad de requerimientos permite:,Rastrear cada requerimiento desde su origen hasta su implementación y pruebas,Eliminar requerimientos duplicados automáticamente,Convertir requerimientos en código automáticamente,A,La trazabilidad permite seguir el rastro de cada requerimiento a lo largo de todo el ciclo de vida.,medium,,,no,0,0,,a1358d0c-2b84-4025-acc4-21ee70ddd83e,2026-05-29T02:16:19.75535+00:00
37,disciplinar,1,Analisis de Sistemas de Software,1,Tipos de requerimientos,single,"'El sistema debe soportar 10,000 usuarios simultáneos' es un requerimiento:",De dominio,No funcional de rendimiento/escalabilidad,Funcional,B,"Es un requerimiento no funcional de rendimiento porque describe una restricción de calidad, no una función.",medium,,,no,0,0,,bd8f3a2a-ed84-4479-bef9-44e9d8a83fa6,2026-05-29T02:16:19.75535+00:00
38,disciplinar,1,Analisis de Sistemas de Software,1,Tipos de requerimientos,single,"Al revisar el documento de especificación, el líder técnico encuentra que dos requerimientos se contradicen: uno establece que el sistema debe usar autenticación con biometría y otro indica autenticación únicamente con contraseña. ¿Qué propiedad de los requerimientos se viola?",Completitud,Consistencia,Trazabilidad,B,"La consistencia exige que los requerimientos no se contradigan entre sí. La completitud se refiere a que no falten requerimientos y la trazabilidad a poder vincular cada requerimiento con su origen, diseño y prueba (Wiegers & Beatty, 2013).",medium,,"requerimientos,consistencia,calidad-req",no,0,0,,94ca9215-cb1f-5612-9166-86d4cb9d37fe,2026-05-30T17:06:13.432030
39,disciplinar,1,Analisis de Sistemas de Software,1,Tipos de requerimientos,single,Considere el siguiente caso: un cajero automatico debe permitir a personas con discapacidad visual operar sus servicios mediante audio y teclas braille. ¿Que tipo de requerimiento no funcional se establece?,Confiabilidad,Escalabilidad,Usabilidad y accesibilidad,C,"La accesibilidad es una sub-categoria de la usabilidad: facilita el uso del sistema a todos los usuarios, incluidos los que tienen alguna discapacidad. No tiene que ver con crecimiento ni con resistencia a fallos.",medium,,,no,0,0,,2c860126-0dd7-4ff2-a68d-9a88ca892258,2026-05-29T05:21:04.055955+00:00
40,disciplinar,1,Analisis de Sistemas de Software,1,Tipos de requerimientos,single,Considere el siguiente caso: una aerolinea requiere que su nuevo sistema de venta de boletos responda a cualquier consulta de disponibilidad en menos de 2 segundos durante los picos de demanda. ¿Como se clasifica este requerimiento?,Funcional de busqueda,De dominio aeronautico,No funcional de rendimiento,C,"Habla de COMO debe comportarse el sistema (tiempo de respuesta), restriccion de calidad caracteristica de los no funcionales de rendimiento. No describe una funcion ni una regla del dominio aereo.",easy,,,no,0,0,,3ccd2467-f64a-4591-950d-8a0a030e0fdb,2026-05-29T05:21:04.055955+00:00
41,disciplinar,1,Analisis de Sistemas de Software,1,Tipos de requerimientos,single,Considere el siguiente caso: un hospital pide que su nuevo expediente clinico funcione tanto en navegadores Chrome y Firefox sobre Windows como en iPad con Safari. ¿Que categoria de requerimiento no funcional aplica?,Portabilidad,Mantenibilidad,Escalabilidad,A,"La portabilidad es la capacidad de funcionar en distintas plataformas y entornos. Mantenibilidad se refiere a facilidad de modificar, y escalabilidad a soportar mas carga, no a correr en varios SO.",easy,,,no,0,0,,9f01a212-2038-4a66-8a74-5ee1d10bd1cf,2026-05-29T05:21:04.055955+00:00
